Gene_symbol,NAME,Foldchange,PValue,FDR,1posH,2posH,3posH,4posH,5posH,6posH,1negH,2negH,3negH,4negH,5negH,6negH
6420,6847,-2.8661227226257324,0.4172995686531067,0.9596652984619141,-1200.723876953125,981.745849609375,373.1380615234375,539.3709106445312,-897.4365844726562,296.4151916503906,240.37802124023438,-575.4448852539062,930.401611328125,412.432373046875,274.6343688964844,148.74114990234375
5841,6824,-4.1778974533081055,0.46818843483924866,0.9215568900108337,-1184.2451171875,1542.6776123046875,202.63734436035156,435.1453552246094,-1526.332763671875,12.516138076782227,-23.043485641479492,-830.8790893554688,655.3032836914062,193.69473266601562,349.99017333984375,654.2750244140625
5994,6658,-3.3130903244018555,0.3785589933395386,0.9316549897193909,-1274.748779296875,1238.5433349609375,334.40496826171875,435.43011474609375,-1160.851806640625,248.35256958007812,292.33599853515625,-558.799560546875,736.96044921875,406.8450927734375,390.2506408691406,576.8028564453125
6720,7319,-3.5514442920684814,0.48246413469314575,0.8905264139175415,-956.9762573242188,1411.416748046875,252.1943359375,416.210205078125,-1302.9866943359375,39.20866394042969,129.7999267578125,-663.9259643554688,456.5998840332031,35.048397064208984,425.8209533691406,390.9713439941406
5258,6543,-3.937492609024048,0.4204545319080353,0.9591493010520935,-1235.20166015625,1273.0072021484375,216.82821655273438,386.09381103515625,-1459.90087890625,92.76415252685547,-185.87672424316406,-746.298095703125,1012.1934814453125,418.0475769042969,472.8240051269531,398.6651306152344
5608,6458,-3.1793222427368164,0.4352130591869354,0.9338763356208801,-1385.035400390625,1306.47021484375,451.3944396972656,465.107177734375,-1396.165771484375,144.89691162109375,-25.885345458984375,-642.8411254882812,941.1788940429688,290.04083251953125,431.9263916015625,154.9463653564453
6163,6036,-3.157909870147705,0.513324499130249,0.9456692337989807,-1049.3963623046875,930.5661010742188,286.98358154296875,357.703125,-781.9015502929688,43.836273193359375,277.8667907714844,-866.5562744140625,646.8126831054688,69.03759002685547,173.74586486816406,691.9962768554688
4690,6045,-3.8146965503692627,0.3962607681751251,0.9669678807258606,-1426.562255859375,1156.854736328125,403.60552978515625,364.7275085449219,-1581.693359375,-45.066646575927734,-155.92007446289062,-807.0546264648438,968.9072265625,277.48175048828125,552.142578125,421.73260498046875
6367,6765,-2.8121414184570312,0.39378246665000916,0.8940097689628601,-1030.5474853515625,1113.0921630859375,208.37948608398438,369.42987060546875,-919.6332397460938,333.9633483886719,271.677001953125,-486.4676208496094,564.3394165039062,247.56842041015625,224.09078979492188,404.1529541015625
5639,6811,-4.020312309265137,0.4999014437198639,0.9754551649093628,-1360.4483642578125,1381.442626953125,191.92721557617188,392.6588439941406,-1699.1448974609375,-232.4724884033203,-148.89163208007812,-716.0645751953125,578.7659301757812,122.79203796386719,602.1563110351562,717.5640258789062
